Player,Nation,Pos,Squad,Comp,Age,Min,MP,Gls,Ast,G+A,G-PK,PK,xG,xAG,npxG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,CrdY,CrdR,over_xG,cluster,cluster_label,market_value_eur_M,GA_pred_lr,GA_pred_rf,xG_diff
Robert Smith 20,SEN,MF,Arsenal,Premier League,28,144,6,1,10,11,1,0,0.23,10.0,0.23,10.23,110,246,134,0.62,6.25,0.14,5,0,1,1,Mediocampista Creativo,44.6,10.27,11.37,0.77
Luca López 21,MAR,MF,Arsenal,Premier League,31,205,5,1,4,5,1,0,6.78,17.21,6.78,23.99,123,271,96,0.44,1.76,2.98,6,0,0,1,Mediocampista Creativo,65.5,13.91,7.76,-5.78
Marco Wagner 22,ITA,MF,Arsenal,Premier League,24,240,10,6,7,13,6,0,0.55,0.69,0.55,1.24,124,252,157,2.25,2.62,0.21,3,0,1,1,Mediocampista Creativo,137.7,9.73,12.55,5.45
James Garcia 23,MAR,DF,Arsenal,Premier League,28,852,14,1,2,3,1,0,0.6,0.7,0.6,1.3,35,66,65,0.11,0.21,0.06,2,0,1,2,Defensor Ofensivo,32.3,4.96,3.13,0.4
Carlos Fernández 24,SEN,DF,Chelsea,Premier League,35,1038,27,1,2,3,1,0,1.08,1.37,1.08,2.45,27,57,24,0.09,0.17,0.09,4,0,0,2,Defensor Ofensivo,17.4,4.82,2.97,-0.08
Luis Becker 25,NED,MF,Chelsea,Premier League,24,332,8,4,5,9,4,0,17.22,4.65,17.22,21.87,62,230,60,1.08,1.36,4.67,1,0,0,1,Mediocampista Creativo,78.0,11.87,10.28,-13.22
Antoine Müller 26,ESP,DF,Chelsea,Premier League,17,540,8,3,1,4,3,0,1.66,4.77,1.66,6.43,17,45,60,0.5,0.17,0.28,3,0,1,2,Defensor Ofensivo,34.4,4.83,3.86,1.34
Kai Martinez 27,COL,MF,Chelsea,Premier League,28,352,10,2,4,6,2,0,1.18,5.72,1.18,6.9,46,58,77,0.51,1.02,0.3,4,0,1,2,Defensor Ofensivo,79.6,6.28,6.72,0.82
Jude Fischer 28,POL,DF,Chelsea,Premier League,26,1536,32,1,0,1,1,0,0.27,3.03,0.27,3.3,35,81,13,0.06,0.0,0.02,6,0,1,2,Defensor Ofensivo,21.8,5.41,2.3,0.73
Vinicius Rossi 29,SEN,FW,Chelsea,Premier League,27,448,27,16,7,23,15,1,3.36,1.29,2.6,3.89,72,87,145,3.21,1.41,0.67,0,0,1,0,Delantero Goleador,191.9,7.64,17.64,12.64
Erling Rodríguez 30,URU,DF,Chelsea,Premier League,31,234,9,0,3,3,0,0,2.63,5.75,2.63,8.38,47,42,56,0.0,1.15,1.01,3,0,0,2,Defensor Ofensivo,32.7,6.68,5.17,-2.63
Kylian Schneider 31,BRA,FW,Chelsea,Premier League,24,232,8,11,2,13,11,0,0.99,8.26,0.99,9.25,50,42,60,4.27,0.78,0.38,1,0,1,0,Delantero Goleador,200.0,6.74,10.0,10.01
Pedri Dupont 32,NED,MF,Chelsea,Premier League,31,694,14,5,4,9,5,0,2.76,2.71,2.76,5.47,117,210,68,0.65,0.52,0.36,1,0,1,1,Mediocampista Creativo,46.6,10.3,9.06,2.24
Gavi Hernández 33,ENG,DF,Chelsea,Premier League,23,1592,26,1,1,2,1,0,3.42,0.41,3.42,3.83,38,68,54,0.06,0.06,0.19,5,0,0,2,Defensor Ofensivo,26.8,6.05,2.48,-2.42
Bukayo Meyer 34,NGR,DF,Chelsea,Premier League,20,621,18,3,1,4,3,0,0.33,1.27,0.33,1.6,63,86,60,0.43,0.14,0.05,1,0,1,2,Defensor Ofensivo,39.6,6.37,3.95,2.67
Trent Silva 35,POR,FW,Chelsea,Premier League,22,393,8,9,4,13,8,1,18.82,4.63,18.06,22.69,121,21,188,2.06,0.92,4.31,1,0,0,0,Delantero Goleador,200.0,14.78,14.51,-9.82
Phil González 36,COL,MF,Chelsea,Premier League,29,330,7,4,8,12,4,0,9.23,5.88,9.23,15.11,66,124,109,1.09,2.18,2.52,2,0,0,1,Mediocampista Creativo,114.9,9.74,10.95,-5.23
Harry Weber 37,URU,DF,Chelsea,Premier League,24,649,14,3,1,4,3,0,3.69,0.98,3.69,4.67,71,141,55,0.42,0.14,0.51,2,0,0,2,Defensor Ofensivo,25.2,7.82,5.07,-0.69
Son Santos 38,GER,DF,Chelsea,Premier League,31,725,11,2,1,3,2,0,1.16,0.32,1.16,1.48,71,128,35,0.25,0.12,0.14,3,0,1,2,Defensor Ofensivo,26.6,7.0,3.24,0.84
Bruno Pérez 39,ARG,FW,Chelsea,Premier League,22,449,9,5,10,15,4,1,9.13,17.74,8.37,26.11,128,31,202,1.0,2.0,1.83,0,0,0,0,Delantero Goleador,200.0,14.37,16.06,-4.13
Robert López 41,MAR,MF,Chelsea,Premier League,30,607,17,2,7,9,2,0,8.16,0.11,8.16,8.27,148,62,57,0.3,1.04,1.21,5,0,0,0,Delantero Goleador,113.0,12.61,11.52,-6.16
Luca Wagner 42,NGR,DF,Chelsea,Premier League,24,960,24,0,1,1,0,0,2.87,2.26,2.87,5.13,46,92,24,0.0,0.09,0.27,4,0,0,2,Defensor Ofensivo,31.4,6.48,4.11,-2.87
Marco Garcia 43,GER,MF,Chelsea,Premier League,23,325,17,6,4,10,6,0,0.24,17.39,0.24,17.63,78,58,138,1.66,1.11,0.07,3,0,1,0,Delantero Goleador,113.8,9.34,8.24,5.76
James Fernández 44,POR,DF,Chelsea,Premier League,26,604,13,1,1,2,1,0,0.07,3.44,0.07,3.51,51,28,49,0.15,0.15,0.01,3,0,1,2,Defensor Ofensivo,10.0,5.87,3.05,0.93
Carlos Becker 45,URU,FW,Chelsea,Premier League,19,976,20,14,9,23,13,1,1.57,1.83,0.81,2.64,84,108,159,1.29,0.83,0.14,2,0,1,0,Delantero Goleador,116.2,8.0,19.38,12.43
Luis Müller 46,ENG,DF,Chelsea,Premier League,32,686,16,0,2,2,0,0,0.71,0.02,0.71,0.73,44,89,39,0.0,0.26,0.09,3,0,0,2,Defensor Ofensivo,27.7,5.36,2.79,-0.71
Kai Fischer 48,MAR,MF,Liverpool,Premier League,34,1055,24,1,8,9,1,0,6.34,5.92,6.34,12.26,145,81,169,0.09,0.68,0.54,1,0,0,0,Delantero Goleador,109.7,12.96,9.74,-5.34
Jude Rossi 49,BRA,DF,Liverpool,Premier League,23,1286,31,0,3,3,0,0,0.36,0.06,0.36,0.42,34,43,21,0.0,0.21,0.03,2,0,0,2,Defensor Ofensivo,11.4,4.8,3.52,-0.36
Vinicius Rodríguez 50,POR,MF,Liverpool,Premier League,27,451,7,5,4,9,5,0,3.49,1.57,3.49,5.06,117,121,178,1.0,0.8,0.7,2,0,1,0,Delantero Goleador,121.8,10.06,9.15,1.51
Erling Schneider 51,SEN,DF,Liverpool,Premier League,28,289,17,2,0,2,2,0,1.27,0.03,1.27,1.3,63,105,29,0.62,0.0,0.4,3,0,1,2,Defensor Ofensivo,12.9,6.42,2.3,0.73
Gavi Meyer 54,GER,FW,Liverpool,Premier League,34,992,13,5,5,10,5,0,1.81,7.02,1.81,8.83,71,70,103,0.45,0.45,0.16,0,0,1,0,Delantero Goleador,168.3,8.09,8.84,3.19
Bukayo Silva 55,MAR,DF,Liverpool,Premier League,23,650,23,0,4,4,0,0,0.64,0.83,0.64,1.47,29,69,58,0.0,0.55,0.09,1,0,0,2,Defensor Ofensivo,28.1,4.65,3.73,-0.64
Trent González 56,POR,FW,Liverpool,Premier League,19,1200,23,11,5,16,11,0,31.99,0.9,31.99,32.89,108,57,100,0.82,0.38,2.4,1,0,0,0,Delantero Goleador,200.0,17.57,17.12,-20.99
Phil Weber 57,ITA,MF,Liverpool,Premier League,23,1783,29,1,7,8,1,0,2.38,5.53,2.38,7.91,134,50,172,0.05,0.35,0.12,3,0,0,0,Delantero Goleador,74.7,11.33,10.8,-1.38
Harry Santos 58,ARG,MF,Liverpool,Premier League,28,1608,28,2,3,5,2,0,0.52,3.01,0.52,3.53,146,108,108,0.11,0.17,0.03,5,0,1,2,Defensor Ofensivo,74.1,11.13,7.68,1.48
Son Pérez 59,MAR,MF,Liverpool,Premier League,29,931,19,1,5,6,1,0,0.68,1.34,0.68,2.02,140,135,73,0.1,0.48,0.07,2,0,1,1,Mediocampista Creativo,66.6,10.54,7.29,0.32
Bruno Smith 60,MAR,MF,Liverpool,Premier League,30,982,23,4,5,9,4,0,4.21,7.24,4.21,11.45,33,151,58,0.37,0.46,0.39,4,0,0,1,Mediocampista Creativo,30.9,7.09,8.55,-0.21
Kevin López 61,ENG,MF,Liverpool,Premier League,30,1074,30,5,10,15,5,0,0.65,3.74,0.65,4.39,108,93,54,0.42,0.84,0.05,6,0,1,0,Delantero Goleador,141.4,9.21,15.08,4.35
Robert Wagner 62,ARG,FW,Liverpool,Premier League,22,1353,33,13,5,18,13,0,1.8,5.14,1.8,6.94,113,58,200,0.86,0.33,0.12,1,0,1,0,Delantero Goleador,165.7,9.97,16.16,11.2
Luca Garcia 63,POL,FW,Liverpool,Premier League,24,1120,16,11,7,18,10,1,2.43,6.82,1.67,8.49,89,43,78,0.88,0.56,0.2,1,0,1,0,Delantero Goleador,102.0,9.1,16.75,8.57
Marco Fernández 64,ARG,MF,Liverpool,Premier League,24,1701,21,3,3,6,3,0,3.64,5.63,3.64,9.27,71,167,164,0.16,0.16,0.19,3,0,0,1,Mediocampista Creativo,66.8,8.8,7.15,-0.64
James Becker 65,MAR,MF,Liverpool,Premier League,27,609,8,5,7,12,5,0,2.44,1.06,2.44,3.5,31,264,41,0.74,1.03,0.36,4,0,1,1,Mediocampista Creativo,99.2,5.77,10.56,2.56
Carlos Müller 66,POR,DF,Liverpool,Premier League,22,1467,29,1,3,4,1,0,0.25,8.8,0.25,9.05,74,140,39,0.06,0.18,0.02,2,0,1,2,Defensor Ofensivo,37.0,8.34,4.59,0.75
Luis Martinez 67,SEN,DF,Liverpool,Premier League,26,1880,33,0,1,1,0,0,0.64,0.49,0.64,1.13,74,94,76,0.0,0.05,0.03,7,0,0,2,Defensor Ofensivo,9.8,7.21,2.28,-0.64
Antoine Fischer 68,SEN,DF,Liverpool,Premier League,28,953,24,1,3,4,1,0,2.59,0.26,2.59,2.85,63,52,45,0.09,0.28,0.24,3,0,0,2,Defensor Ofensivo,41.9,6.86,6.21,-1.59
Kai Rossi 69,FRA,DF,Liverpool,Premier League,28,416,12,0,4,4,0,0,1.06,1.04,1.06,2.1,69,112,52,0.0,0.87,0.23,2,0,0,2,Defensor Ofensivo,24.4,6.86,3.64,-1.06
Jude Rodríguez 70,ITA,MF,Liverpool,Premier League,28,844,19,1,6,7,1,0,1.06,1.25,1.06,2.31,122,101,163,0.11,0.64,0.11,5,0,0,1,Mediocampista Creativo,31.8,9.63,9.52,-0.06
Erling Dupont 72,FRA,FW,Liverpool,Premier League,22,1420,32,6,7,13,6,0,0.97,4.84,0.97,5.81,168,21,119,0.38,0.44,0.06,1,0,1,0,Delantero Goleador,171.5,12.38,13.59,5.03
Kylian Hernández 73,MAR,FW,Man City,Premier League,25,312,12,4,4,8,4,0,0.8,5.67,0.8,6.47,148,70,211,1.15,1.15,0.23,1,0,1,0,Delantero Goleador,143.1,11.31,10.41,3.2
Pedri Meyer 74,FRA,FW,Man City,Premier League,23,1210,30,14,5,19,14,0,33.56,4.95,33.56,38.51,88,55,185,1.04,0.37,2.5,3,0,0,0,Delantero Goleador,200.0,17.6,18.5,-19.56
Gavi Silva 75,COL,MF,Man City,Premier League,30,1550,25,4,6,10,4,0,0.88,10.9,0.88,11.78,149,198,161,0.23,0.35,0.05,6,0,1,1,Mediocampista Creativo,95.5,12.76,9.34,3.12
Trent Weber 77,ENG,MF,Man City,Premier League,22,440,15,6,2,8,6,0,5.19,24.02,5.19,29.21,133,276,103,1.23,0.41,1.06,4,0,1,1,Mediocampista Creativo,109.2,15.04,8.62,0.81
Harry Pérez 79,POR,MF,Man City,Premier League,28,1904,28,3,7,10,3,0,3.47,4.12,3.47,7.59,33,169,63,0.14,0.33,0.16,4,0,0,1,Mediocampista Creativo,59.4,6.68,9.3,-0.47
Son Smith 80,NED,DF,Man City,Premier League,26,810,17,0,1,1,0,0,2.0,11.53,2.0,13.53,54,23,29,0.0,0.11,0.22,1,0,0,2,Defensor Ofensivo,17.4,7.79,3.83,-2.0
Bruno López 81,COL,FW,Man City,Premier League,31,444,9,14,7,21,13,1,14.6,2.76,13.84,16.6,44,119,129,2.84,1.42,2.96,2,0,0,0,Delantero Goleador,161.5,9.7,18.42,-0.6
Kevin Wagner 82,URU,DF,Man City,Premier League,29,428,8,0,1,1,0,0,0.43,4.26,0.43,4.69,19,99,25,0.0,0.21,0.09,2,0,0,2,Defensor Ofensivo,7.9,4.62,2.04,-0.43
Robert Garcia 83,NED,DF,Man City,Premier League,30,329,8,2,4,6,2,0,0.81,0.54,0.81,1.35,66,77,30,0.55,1.09,0.22,3,0,1,2,Defensor Ofensivo,38.7,6.46,4.88,1.19
Marco Becker 85,POL,DF,Man City,Premier League,32,180,6,0,1,1,0,0,0.15,3.56,0.15,3.71,60,144,48,0.0,0.5,0.07,1,0,0,2,Defensor Ofensivo,16.6,6.55,2.15,-0.15
James Müller 86,GER,DF,Man City,Premier League,23,318,8,0,3,3,0,0,0.9,7.56,0.9,8.46,35,132,72,0.0,0.85,0.25,1,0,0,2,Defensor Ofensivo,20.1,6.1,4.17,-0.9
Carlos Martinez 87,GER,DF,Man City,Premier League,23,1574,24,1,1,2,1,0,0.66,2.55,0.66,3.21,64,66,24,0.06,0.06,0.04,3,0,1,2,Defensor Ofensivo,32.5,6.88,3.51,0.34
Luis Fischer 88,ITA,FW,Man City,Premier League,26,1312,32,11,7,18,8,3,37.28,4.96,35.0,39.96,52,53,63,0.75,0.48,2.56,0,1,0,0,Delantero Goleador,200.0,16.87,17.32,-26.28
Antoine Rossi 89,MAR,FW,Man City,Premier League,20,1544,32,12,7,19,12,0,11.2,7.87,11.2,19.07,73,60,110,0.7,0.41,0.65,2,0,1,0,Delantero Goleador,200.0,11.07,16.78,0.8
Kai Rodríguez 90,NGR,DF,Man City,Premier League,24,2256,28,1,2,3,1,0,1.78,1.29,1.78,3.07,47,40,66,0.04,0.08,0.07,8,0,0,2,Defensor Ofensivo,14.2,6.25,3.78,-0.78
Jude Schneider 91,MAR,MF,Man City,Premier League,23,384,8,3,3,6,3,0,4.92,18.02,4.92,22.94,32,219,58,0.7,0.7,1.15,0,0,0,1,Mediocampista Creativo,81.3,8.85,6.97,-1.92
Vinicius Dupont 92,GER,MF,Man City,Premier League,24,466,8,2,5,7,2,0,8.39,10.49,8.39,18.88,139,135,159,0.39,0.97,1.62,1,0,0,1,Mediocampista Creativo,31.7,13.9,7.88,-6.39
Erling Hernández 93,BRA,DF,Man City,Premier League,24,1135,18,0,2,2,0,0,0.15,4.33,0.15,4.48,77,54,74,0.0,0.16,0.01,3,0,0,2,Defensor Ofensivo,16.0,7.52,3.37,-0.15
Kylian Meyer 94,GER,FW,Man City,Premier League,31,893,23,5,7,12,5,0,2.64,2.02,2.64,4.66,51,25,86,0.5,0.71,0.27,1,0,1,0,Delantero Goleador,75.7,6.45,10.78,2.36
Pedri Silva 95,SEN,MF,Man City,Premier League,24,1328,24,1,7,8,1,0,3.84,0.6,3.84,4.44,80,108,80,0.07,0.47,0.26,1,0,0,1,Mediocampista Creativo,93.2,8.34,10.1,-2.84
Gavi González 96,ESP,DF,Man City,Premier League,18,1068,12,1,4,5,1,0,1.9,3.19,1.9,5.09,58,103,27,0.08,0.34,0.16,3,0,0,2,Defensor Ofensivo,40.8,6.99,6.45,-0.9
Bukayo Weber 97,POL,DF,Man City,Premier League,19,1289,23,2,1,3,2,0,1.52,4.4,1.52,5.92,48,47,12,0.14,0.07,0.11,2,0,1,2,Defensor Ofensivo,16.3,6.48,4.27,0.48
Trent Santos 98,ENG,DF,Man United,Premier League,25,1070,17,1,2,3,1,0,0.74,3.44,0.74,4.18,45,118,54,0.08,0.17,0.06,7,0,1,2,Defensor Ofensivo,27.6,6.09,3.59,0.26
Phil Pérez 99,ENG,DF,Man United,Premier League,18,1282,28,1,2,3,1,0,0.04,1.87,0.04,1.91,44,145,20,0.07,0.14,0.0,3,0,1,2,Defensor Ofensivo,22.7,5.73,3.44,0.96
Harry Smith 100,SEN,DF,Man United,Premier League,26,714,17,0,2,2,0,0,0.56,0.29,0.56,0.85,39,141,46,0.0,0.25,0.07,5,0,0,2,Defensor Ofensivo,17.6,5.25,2.44,-0.56
Son López 101,URU,FW,Man United,Premier League,27,653,26,10,4,14,10,0,0.53,1.89,0.53,2.42,60,63,198,1.38,0.55,0.07,1,0,1,0,Delantero Goleador,167.4,6.32,10.53,9.47
Bruno Wagner 102,ITA,DF,Man United,Premier League,28,957,22,1,1,2,1,0,0.97,1.41,0.97,2.38,28,83,20,0.09,0.09,0.09,1,0,1,2,Defensor Ofensivo,24.6,4.89,2.58,0.03
Kevin Garcia 103,ESP,FW,Man United,Premier League,29,688,24,6,6,12,5,1,12.91,2.2,12.15,14.35,121,111,63,0.78,0.78,1.69,0,1,0,0,Delantero Goleador,182.2,13.05,12.93,-6.91
Robert Fernández 104,ENG,FW,Man United,Premier League,28,1233,18,12,5,17,12,0,2.13,14.21,2.13,16.34,86,54,78,0.88,0.36,0.16,0,1,1,0,Delantero Goleador,78.8,10.01,15.12,9.87
Luca Becker 105,POR,FW,Man United,Premier League,17,245,5,11,3,14,11,0,0.61,1.93,0.61,2.54,42,33,93,4.04,1.1,0.22,2,0,1,0,Delantero Goleador,103.8,5.28,10.0,10.39
James Martinez 107,FRA,MF,Man United,Premier League,23,1144,25,4,5,9,4,0,5.01,8.64,5.01,13.65,53,128,61,0.31,0.39,0.39,3,0,0,1,Mediocampista Creativo,113.2,8.5,9.7,-1.01
Carlos Fischer 108,SEN,MF,Man United,Premier League,23,1623,29,7,11,18,7,0,0.49,0.22,0.49,0.71,58,210,99,0.39,0.61,0.03,1,0,1,1,Mediocampista Creativo,135.6,6.55,14.31,6.51
Luis Rossi 109,ITA,DF,Man United,Premier League,19,1047,28,2,3,5,2,0,1.04,0.88,1.04,1.92,50,118,56,0.17,0.26,0.09,2,0,1,2,Defensor Ofensivo,20.1,6.04,4.42,0.96
Antoine Rodríguez 110,COL,FW,Man United,Premier League,24,523,13,7,5,12,6,1,9.32,2.26,8.56,10.82,93,73,124,1.2,0.86,1.6,0,0,0,0,Delantero Goleador,152.3,10.5,12.34,-2.32
Kai Schneider 111,NED,DF,Man United,Premier League,27,774,14,3,3,6,3,0,1.94,3.78,1.94,5.72,69,109,74,0.35,0.35,0.23,4,1,1,2,Defensor Ofensivo,50.5,7.59,5.63,1.06
Jude Dupont 112,BRA,DF,Man United,Premier League,29,936,30,2,4,6,2,0,0.52,0.42,0.52,0.94,68,123,76,0.19,0.38,0.05,3,0,1,2,Defensor Ofensivo,37.1,6.72,5.45,1.48
Vinicius Hernández 113,MAR,FW,Man United,Premier League,23,590,9,4,2,6,3,1,8.77,6.84,8.01,14.85,84,102,70,0.61,0.31,1.34,0,0,0,2,Defensor Ofensivo,144.8,10.66,8.42,-4.77
Erling Meyer 114,POR,FW,Man United,Premier League,24,714,19,10,2,12,10,0,12.88,1.97,12.88,14.85,161,40,105,1.26,0.25,1.62,2,0,0,0,Delantero Goleador,79.0,14.84,13.41,-2.88
Kylian Silva 115,ESP,MF,Man United,Premier League,18,1212,16,5,8,13,5,0,0.96,0.07,0.96,1.03,35,53,147,0.37,0.59,0.07,7,0,1,0,Delantero Goleador,59.5,5.03,9.54,4.04
Pedri González 116,GER,MF,Tottenham,Premier League,26,1938,26,5,6,11,5,0,9.0,0.0,9.0,9.0,129,58,73,0.23,0.28,0.42,0,0,0,0,Delantero Goleador,81.9,12.18,12.81,-4.0
Bukayo Santos 118,BEL,DF,Tottenham,Premier League,19,414,13,0,1,1,0,0,0.85,2.29,0.85,3.14,65,118,35,0.0,0.22,0.18,3,0,0,2,Defensor Ofensivo,24.4,6.8,2.06,-0.85
Trent Pérez 119,SEN,FW,Tottenham,Premier League,26,1805,22,7,3,10,5,2,3.15,9.52,1.63,11.15,168,86,170,0.35,0.15,0.16,2,0,1,0,Delantero Goleador,126.4,13.93,12.56,3.85
Harry López 121,FRA,DF,Tottenham,Premier League,24,554,16,4,1,5,4,0,0.62,13.85,0.62,14.47,48,35,31,0.65,0.16,0.1,2,0,1,2,Defensor Ofensivo,45.3,7.41,5.8,3.38
Son Wagner 122,NED,FW,Tottenham,Premier League,28,422,14,17,5,22,16,1,5.36,0.78,4.6,5.38,54,115,182,3.63,1.07,1.14,1,0,1,0,Delantero Goleador,106.7,7.29,16.73,11.64
Bruno Garcia 123,ENG,DF,Tottenham,Premier League,26,323,10,2,3,5,2,0,2.31,2.39,2.31,4.7,27,132,52,0.56,0.84,0.64,0,0,0,2,Defensor Ofensivo,53.5,5.33,4.59,-0.31
Kevin Fernández 124,URU,MF,Tottenham,Premier League,33,140,5,3,11,14,3,0,1.5,13.69,1.5,15.19,143,65,122,1.93,7.07,0.96,1,0,1,0,Delantero Goleador,35.3,12.38,13.08,1.5
Robert Becker 125,BEL,DF,Tottenham,Premier League,26,800,16,2,1,3,2,0,0.13,0.73,0.13,0.86,78,142,75,0.22,0.11,0.01,4,0,1,2,Defensor Ofensivo,35.5,7.17,3.77,1.87
Luca Müller 126,NED,FW,Tottenham,Premier League,25,210,14,10,3,13,10,0,8.37,3.27,8.37,11.64,74,99,61,4.29,1.29,3.59,2,0,1,0,Delantero Goleador,200.0,9.42,12.88,1.63
Marco Martinez 127,SEN,DF,Tottenham,Premier League,24,638,16,2,3,5,2,0,1.12,0.52,1.12,1.64,11,84,35,0.28,0.42,0.16,3,0,1,2,Defensor Ofensivo,37.3,3.87,4.12,0.88
James Fischer 128,NED,DF,Tottenham,Premier League,26,1004,21,3,2,5,3,0,0.01,1.02,0.01,1.03,44,104,34,0.27,0.18,0.0,3,0,1,2,Defensor Ofensivo,37.5,5.43,4.76,2.99
Carlos Rossi 129,POR,DF,Tottenham,Premier League,24,1392,24,0,1,1,0,0,0.66,0.03,0.66,0.69,52,53,49,0.0,0.06,0.04,3,0,0,2,Defensor Ofensivo,14.6,5.83,2.92,-0.66
Luis Rodríguez 130,ENG,DF,Tottenham,Premier League,18,896,28,1,3,4,1,0,0.35,2.89,0.35,3.24,48,132,69,0.1,0.3,0.04,5,0,1,2,Defensor Ofensivo,24.4,6.04,4.75,0.65
Antoine Schneider 131,ARG,MF,Tottenham,Premier League,25,643,15,5,3,8,5,0,1.32,6.24,1.32,7.56,67,291,160,0.7,0.42,0.18,1,0,1,1,Mediocampista Creativo,43.2,8.1,9.49,3.68
Kai Dupont 132,ITA,MF,Tottenham,Premier League,25,232,8,5,8,13,5,0,1.53,11.69,1.53,13.22,35,292,148,1.94,3.1,0.59,6,0,1,1,Mediocampista Creativo,51.4,7.26,11.97,3.47
Jude Hernández 133,MAR,DF,Tottenham,Premier League,31,1042,18,3,1,4,3,0,0.64,0.96,0.64,1.6,41,141,19,0.26,0.09,0.06,2,0,1,2,Defensor Ofensivo,19.0,5.55,3.56,2.36
