Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,market_value_eur_M
Luca López 21,MAR,MF,Arsenal,Premier League,31,5,0,205,1,4,5,1,0,0,6,0,6.78,6.78,17.21,23.99,123,271,96,0.44,1.76,2.98,65.5
Marco Wagner 22,ITA,MF,Arsenal,Premier League,24,10,0,240,6,7,13,6,0,0,3,0,0.55,0.55,0.69,1.24,124,252,157,2.25,2.62,0.21,137.7
James Garcia 23,MAR,DF,Arsenal,Premier League,28,14,12,852,1,2,3,1,0,0,2,0,0.6,0.6,0.7,1.3,35,66,65,0.11,0.21,0.06,32.3
Carlos Fernández 24,SEN,DF,Chelsea,Premier League,35,27,13,1038,1,2,3,1,0,1,4,0,1.08,1.08,1.37,2.45,27,57,24,0.09,0.17,0.09,17.4
Luis Becker 25,NED,MF,Chelsea,Premier League,24,8,2,332,4,5,9,4,0,1,1,0,17.22,17.22,4.65,21.87,62,230,60,1.08,1.36,4.67,78.0
Antoine Müller 26,ESP,DF,Chelsea,Premier League,17,8,7,540,3,1,4,3,0,0,3,0,1.66,1.66,4.77,6.43,17,45,60,0.5,0.17,0.28,34.4
Kai Martinez 27,COL,MF,Chelsea,Premier League,28,10,4,352,2,4,6,2,0,0,4,0,1.18,1.18,5.72,6.9,46,58,77,0.51,1.02,0.3,79.6
Jude Fischer 28,POL,DF,Chelsea,Premier League,26,32,28,1536,1,0,1,1,0,0,6,0,0.27,0.27,3.03,3.3,35,81,13,0.06,0.0,0.02,21.8
Vinicius Rossi 29,SEN,FW,Chelsea,Premier League,27,27,1,448,16,7,23,15,1,1,0,0,3.36,2.6,1.29,3.89,72,87,145,3.21,1.41,0.67,191.9
Erling Rodríguez 30,URU,DF,Chelsea,Premier League,31,9,3,234,0,3,3,0,0,0,3,0,2.63,2.63,5.75,8.38,47,42,56,0.0,1.15,1.01,32.7
Kylian Schneider 31,BRA,FW,Chelsea,Premier League,24,8,3,232,11,2,13,11,0,0,1,0,0.99,0.99,8.26,9.25,50,42,60,4.27,0.78,0.38,200.0
Pedri Dupont 32,NED,MF,Chelsea,Premier League,31,14,3,694,5,4,9,5,0,0,1,0,2.76,2.76,2.71,5.47,117,210,68,0.65,0.52,0.36,46.6
Gavi Hernández 33,ENG,DF,Chelsea,Premier League,23,26,21,1592,1,1,2,1,0,0,5,0,3.42,3.42,0.41,3.83,38,68,54,0.06,0.06,0.19,26.8
Bukayo Meyer 34,NGR,DF,Chelsea,Premier League,20,18,1,621,3,1,4,3,0,0,1,0,0.33,0.33,1.27,1.6,63,86,60,0.43,0.14,0.05,39.6
Trent Silva 35,POR,FW,Chelsea,Premier League,22,8,3,393,9,4,13,8,1,1,1,0,18.82,18.06,4.63,22.69,121,21,188,2.06,0.92,4.31,200.0
Phil González 36,COL,MF,Chelsea,Premier League,29,7,3,330,4,8,12,4,0,0,2,0,9.23,9.23,5.88,15.11,66,124,109,1.09,2.18,2.52,114.9
Harry Weber 37,URU,DF,Chelsea,Premier League,24,14,5,649,3,1,4,3,0,1,2,0,3.69,3.69,0.98,4.67,71,141,55,0.42,0.14,0.51,25.2
Son Santos 38,GER,DF,Chelsea,Premier League,31,11,7,725,2,1,3,2,0,0,3,0,1.16,1.16,0.32,1.48,71,128,35,0.25,0.12,0.14,26.6
Bruno Pérez 39,ARG,FW,Chelsea,Premier League,22,9,2,449,5,10,15,4,1,1,0,0,9.13,8.37,17.74,26.11,128,31,202,1.0,2.0,1.83,200.0
Kevin Smith 40,GER,GK,Chelsea,Premier League,21,20,7,963,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,17,3,0.0,0.0,0.0,4.4
Robert López 41,MAR,MF,Chelsea,Premier League,30,17,1,607,2,7,9,2,0,0,5,0,8.16,8.16,0.11,8.27,148,62,57,0.3,1.04,1.21,113.0
Luca Wagner 42,NGR,DF,Chelsea,Premier League,24,24,4,960,0,1,1,0,0,0,4,0,2.87,2.87,2.26,5.13,46,92,24,0.0,0.09,0.27,31.4
Marco Garcia 43,GER,MF,Chelsea,Premier League,23,17,1,325,6,4,10,6,0,0,3,0,0.24,0.24,17.39,17.63,78,58,138,1.66,1.11,0.07,113.8
James Fernández 44,POR,DF,Chelsea,Premier League,26,13,3,604,1,1,2,1,0,0,3,0,0.07,0.07,3.44,3.51,51,28,49,0.15,0.15,0.01,10.0
Carlos Becker 45,URU,FW,Chelsea,Premier League,19,20,12,976,14,9,23,13,1,2,2,0,1.57,0.81,1.83,2.64,84,108,159,1.29,0.83,0.14,116.2
Luis Müller 46,ENG,DF,Chelsea,Premier League,32,16,6,686,0,2,2,0,0,1,3,0,0.71,0.71,0.02,0.73,44,89,39,0.0,0.26,0.09,27.7
Antoine Martinez 47,NGR,GK,Chelsea,Premier League,27,31,31,1891,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,21,0,0.0,0.0,0.0,4.5
Kai Fischer 48,MAR,MF,Liverpool,Premier League,34,24,11,1055,1,8,9,1,0,0,1,0,6.34,6.34,5.92,12.26,145,81,169,0.09,0.68,0.54,109.7
Jude Rossi 49,BRA,DF,Liverpool,Premier League,23,31,19,1286,0,3,3,0,0,0,2,0,0.36,0.36,0.06,0.42,34,43,21,0.0,0.21,0.03,11.4
Vinicius Rodríguez 50,POR,MF,Liverpool,Premier League,27,7,4,451,5,4,9,5,0,0,2,0,3.49,3.49,1.57,5.06,117,121,178,1.0,0.8,0.7,121.8
Erling Schneider 51,SEN,DF,Liverpool,Premier League,28,17,0,289,2,0,2,2,0,0,3,0,1.27,1.27,0.03,1.3,63,105,29,0.62,0.0,0.4,12.9
Kylian Dupont 52,NED,GK,Liverpool,Premier League,21,11,9,617,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,9,6,0.0,0.0,0.0,11.1
Pedri Hernández 53,POR,GK,Liverpool,Premier League,24,13,1,260,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,7,1,0.0,0.0,0.0,10.6
Gavi Meyer 54,GER,FW,Liverpool,Premier League,34,13,11,992,5,5,10,5,0,0,0,0,1.81,1.81,7.02,8.83,71,70,103,0.45,0.45,0.16,168.3
Bukayo Silva 55,MAR,DF,Liverpool,Premier League,23,23,2,650,0,4,4,0,0,0,1,0,0.64,0.64,0.83,1.47,29,69,58,0.0,0.55,0.09,28.1
Trent González 56,POR,FW,Liverpool,Premier League,19,23,21,1200,11,5,16,11,0,0,1,0,31.99,31.99,0.9,32.89,108,57,100,0.82,0.38,2.4,200.0
Phil Weber 57,ITA,MF,Liverpool,Premier League,23,29,24,1783,1,7,8,1,0,0,3,0,2.38,2.38,5.53,7.91,134,50,172,0.05,0.35,0.12,74.7
Harry Santos 58,ARG,MF,Liverpool,Premier League,28,28,27,1608,2,3,5,2,0,1,5,0,0.52,0.52,3.01,3.53,146,108,108,0.11,0.17,0.03,74.1
Son Pérez 59,MAR,MF,Liverpool,Premier League,29,19,10,931,1,5,6,1,0,0,2,0,0.68,0.68,1.34,2.02,140,135,73,0.1,0.48,0.07,66.6
Bruno Smith 60,MAR,MF,Liverpool,Premier League,30,23,15,982,4,5,9,4,0,0,4,0,4.21,4.21,7.24,11.45,33,151,58,0.37,0.46,0.39,30.9
Kevin López 61,ENG,MF,Liverpool,Premier League,30,30,6,1074,5,10,15,5,0,0,6,0,0.65,0.65,3.74,4.39,108,93,54,0.42,0.84,0.05,141.4
Robert Wagner 62,ARG,FW,Liverpool,Premier League,22,33,3,1353,13,5,18,13,0,0,1,0,1.8,1.8,5.14,6.94,113,58,200,0.86,0.33,0.12,165.7
Luca Garcia 63,POL,FW,Liverpool,Premier League,24,16,12,1120,11,7,18,10,1,1,1,0,2.43,1.67,6.82,8.49,89,43,78,0.88,0.56,0.2,102.0
Marco Fernández 64,ARG,MF,Liverpool,Premier League,24,21,21,1701,3,3,6,3,0,0,3,0,3.64,3.64,5.63,9.27,71,167,164,0.16,0.16,0.19,66.8
James Becker 65,MAR,MF,Liverpool,Premier League,27,8,7,609,5,7,12,5,0,0,4,0,2.44,2.44,1.06,3.5,31,264,41,0.74,1.03,0.36,99.2
Carlos Müller 66,POR,DF,Liverpool,Premier League,22,29,22,1467,1,3,4,1,0,0,2,0,0.25,0.25,8.8,9.05,74,140,39,0.06,0.18,0.02,37.0
Luis Martinez 67,SEN,DF,Liverpool,Premier League,26,33,13,1880,0,1,1,0,0,0,7,0,0.64,0.64,0.49,1.13,74,94,76,0.0,0.05,0.03,9.8
Antoine Fischer 68,SEN,DF,Liverpool,Premier League,28,24,13,953,1,3,4,1,0,0,3,0,2.59,2.59,0.26,2.85,63,52,45,0.09,0.28,0.24,41.9
Kai Rossi 69,FRA,DF,Liverpool,Premier League,28,12,4,416,0,4,4,0,0,0,2,0,1.06,1.06,1.04,2.1,69,112,52,0.0,0.87,0.23,24.4
Jude Rodríguez 70,ITA,MF,Liverpool,Premier League,28,19,8,844,1,6,7,1,0,0,5,0,1.06,1.06,1.25,2.31,122,101,163,0.11,0.64,0.11,31.8
Vinicius Schneider 71,SEN,GK,Liverpool,Premier League,31,6,5,385,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,21,5,0.0,0.0,0.0,6.6
Erling Dupont 72,FRA,FW,Liverpool,Premier League,22,32,10,1420,6,7,13,6,0,0,1,0,0.97,0.97,4.84,5.81,168,21,119,0.38,0.44,0.06,171.5
Kylian Hernández 73,MAR,FW,Man City,Premier League,25,12,0,312,4,4,8,4,0,1,1,0,0.8,0.8,5.67,6.47,148,70,211,1.15,1.15,0.23,143.1
Pedri Meyer 74,FRA,FW,Man City,Premier League,23,30,4,1210,14,5,19,14,0,1,3,0,33.56,33.56,4.95,38.51,88,55,185,1.04,0.37,2.5,200.0
Gavi Silva 75,COL,MF,Man City,Premier League,30,25,15,1550,4,6,10,4,0,0,6,0,0.88,0.88,10.9,11.78,149,198,161,0.23,0.35,0.05,95.5
Bukayo González 76,COL,GK,Man City,Premier League,30,29,21,1816,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0,12,1,0.0,0.0,0.0,9.9
Trent Weber 77,ENG,MF,Man City,Premier League,22,15,4,440,6,2,8,6,0,0,4,0,5.19,5.19,24.02,29.21,133,276,103,1.23,0.41,1.06,109.2
Phil Santos 78,ENG,GK,Man City,Premier League,22,6,4,296,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,15,2,0.0,0.0,0.0,8.6
Harry Pérez 79,POR,MF,Man City,Premier League,28,28,21,1904,3,7,10,3,0,0,4,0,3.47,3.47,4.12,7.59,33,169,63,0.14,0.33,0.16,59.4
Son Smith 80,NED,DF,Man City,Premier League,26,17,3,810,0,1,1,0,0,0,1,0,2.0,2.0,11.53,13.53,54,23,29,0.0,0.11,0.22,17.4
Bruno López 81,COL,FW,Man City,Premier League,31,9,8,444,14,7,21,13,1,1,2,0,14.6,13.84,2.76,16.6,44,119,129,2.84,1.42,2.96,161.5
Kevin Wagner 82,URU,DF,Man City,Premier League,29,8,4,428,0,1,1,0,0,0,2,0,0.43,0.43,4.26,4.69,19,99,25,0.0,0.21,0.09,7.9
Robert Garcia 83,NED,DF,Man City,Premier League,30,8,1,329,2,4,6,2,0,0,3,0,0.81,0.81,0.54,1.35,66,77,30,0.55,1.09,0.22,38.7
Luca Fernández 84,POR,GK,Man City,Premier League,23,29,6,1362,0,0,0,0,0,1,2,0,0.0,0.0,0.0,0.0,0,16,7,0.0,0.0,0.0,10.5
Marco Becker 85,POL,DF,Man City,Premier League,32,6,0,180,0,1,1,0,0,0,1,0,0.15,0.15,3.56,3.71,60,144,48,0.0,0.5,0.07,16.6
James Müller 86,GER,DF,Man City,Premier League,23,8,3,318,0,3,3,0,0,0,1,0,0.9,0.9,7.56,8.46,35,132,72,0.0,0.85,0.25,20.1
Carlos Martinez 87,GER,DF,Man City,Premier League,23,24,22,1574,1,1,2,1,0,0,3,0,0.66,0.66,2.55,3.21,64,66,24,0.06,0.06,0.04,32.5
Luis Fischer 88,ITA,FW,Man City,Premier League,26,32,0,1312,11,7,18,8,3,3,0,1,37.28,35.0,4.96,39.96,52,53,63,0.75,0.48,2.56,200.0
Antoine Rossi 89,MAR,FW,Man City,Premier League,20,32,28,1544,12,7,19,12,0,0,2,0,11.2,11.2,7.87,19.07,73,60,110,0.7,0.41,0.65,200.0
Kai Rodríguez 90,NGR,DF,Man City,Premier League,24,28,27,2256,1,2,3,1,0,0,8,0,1.78,1.78,1.29,3.07,47,40,66,0.04,0.08,0.07,14.2
Jude Schneider 91,MAR,MF,Man City,Premier League,23,8,4,384,3,3,6,3,0,0,0,0,4.92,4.92,18.02,22.94,32,219,58,0.7,0.7,1.15,81.3
Vinicius Dupont 92,GER,MF,Man City,Premier League,24,8,7,466,2,5,7,2,0,1,1,0,8.39,8.39,10.49,18.88,139,135,159,0.39,0.97,1.62,31.7
Erling Hernández 93,BRA,DF,Man City,Premier League,24,18,17,1135,0,2,2,0,0,1,3,0,0.15,0.15,4.33,4.48,77,54,74,0.0,0.16,0.01,16.0
Kylian Meyer 94,GER,FW,Man City,Premier League,31,23,3,893,5,7,12,5,0,0,1,0,2.64,2.64,2.02,4.66,51,25,86,0.5,0.71,0.27,75.7
Pedri Silva 95,SEN,MF,Man City,Premier League,24,24,23,1328,1,7,8,1,0,1,1,0,3.84,3.84,0.6,4.44,80,108,80,0.07,0.47,0.26,93.2
Gavi González 96,ESP,DF,Man City,Premier League,18,12,12,1068,1,4,5,1,0,1,3,0,1.9,1.9,3.19,5.09,58,103,27,0.08,0.34,0.16,40.8
Bukayo Weber 97,POL,DF,Man City,Premier League,19,23,14,1289,2,1,3,2,0,0,2,0,1.52,1.52,4.4,5.92,48,47,12,0.14,0.07,0.11,16.3
Trent Santos 98,ENG,DF,Man United,Premier League,25,17,14,1070,1,2,3,1,0,0,7,0,0.74,0.74,3.44,4.18,45,118,54,0.08,0.17,0.06,27.6
Phil Pérez 99,ENG,DF,Man United,Premier League,18,28,6,1282,1,2,3,1,0,0,3,0,0.04,0.04,1.87,1.91,44,145,20,0.07,0.14,0.0,22.7
Harry Smith 100,SEN,DF,Man United,Premier League,26,17,3,714,0,2,2,0,0,0,5,0,0.56,0.56,0.29,0.85,39,141,46,0.0,0.25,0.07,17.6
Son López 101,URU,FW,Man United,Premier League,27,26,3,653,10,4,14,10,0,0,1,0,0.53,0.53,1.89,2.42,60,63,198,1.38,0.55,0.07,167.4
Bruno Wagner 102,ITA,DF,Man United,Premier League,28,22,7,957,1,1,2,1,0,0,1,0,0.97,0.97,1.41,2.38,28,83,20,0.09,0.09,0.09,24.6
Kevin Garcia 103,ESP,FW,Man United,Premier League,29,24,8,688,6,6,12,5,1,1,0,1,12.91,12.15,2.2,14.35,121,111,63,0.78,0.78,1.69,182.2
Robert Fernández 104,ENG,FW,Man United,Premier League,28,18,15,1233,12,5,17,12,0,0,0,1,2.13,2.13,14.21,16.34,86,54,78,0.88,0.36,0.16,78.8
Luca Becker 105,POR,FW,Man United,Premier League,17,5,4,245,11,3,14,11,0,1,2,0,0.61,0.61,1.93,2.54,42,33,93,4.04,1.1,0.22,103.8
Marco Müller 106,ESP,GK,Man United,Premier League,25,19,1,299,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,7,6,0.0,0.0,0.0,9.7
James Martinez 107,FRA,MF,Man United,Premier League,23,25,12,1144,4,5,9,4,0,0,3,0,5.01,5.01,8.64,13.65,53,128,61,0.31,0.39,0.39,113.2
Carlos Fischer 108,SEN,MF,Man United,Premier League,23,29,16,1623,7,11,18,7,0,0,1,0,0.49,0.49,0.22,0.71,58,210,99,0.39,0.61,0.03,135.6
Luis Rossi 109,ITA,DF,Man United,Premier League,19,28,11,1047,2,3,5,2,0,1,2,0,1.04,1.04,0.88,1.92,50,118,56,0.17,0.26,0.09,20.1
Antoine Rodríguez 110,COL,FW,Man United,Premier League,24,13,5,523,7,5,12,6,1,1,0,0,9.32,8.56,2.26,10.82,93,73,124,1.2,0.86,1.6,152.3
Kai Schneider 111,NED,DF,Man United,Premier League,27,14,13,774,3,3,6,3,0,0,4,1,1.94,1.94,3.78,5.72,69,109,74,0.35,0.35,0.23,50.5
Jude Dupont 112,BRA,DF,Man United,Premier League,29,30,6,936,2,4,6,2,0,0,3,0,0.52,0.52,0.42,0.94,68,123,76,0.19,0.38,0.05,37.1
Vinicius Hernández 113,MAR,FW,Man United,Premier League,23,9,7,590,4,2,6,3,1,1,0,0,8.77,8.01,6.84,14.85,84,102,70,0.61,0.31,1.34,144.8
Erling Meyer 114,POR,FW,Man United,Premier League,24,19,8,714,10,2,12,10,0,0,2,0,12.88,12.88,1.97,14.85,161,40,105,1.26,0.25,1.62,79.0
Kylian Silva 115,ESP,MF,Man United,Premier League,18,16,12,1212,5,8,13,5,0,0,7,0,0.96,0.96,0.07,1.03,35,53,147,0.37,0.59,0.07,59.5
Pedri González 116,GER,MF,Tottenham,Premier League,26,26,21,1938,5,6,11,5,0,0,0,0,9.0,9.0,0.0,9.0,129,58,73,0.23,0.28,0.42,81.9
Gavi Weber 117,ESP,GK,Tottenham,Premier League,21,11,10,723,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,16,1,0.0,0.0,0.0,14.2
Bukayo Santos 118,BEL,DF,Tottenham,Premier League,19,13,4,414,0,1,1,0,0,0,3,0,0.85,0.85,2.29,3.14,65,118,35,0.0,0.22,0.18,24.4
Trent Pérez 119,SEN,FW,Tottenham,Premier League,26,22,19,1805,7,3,10,5,2,2,2,0,3.15,1.63,9.52,11.15,168,86,170,0.35,0.15,0.16,126.4
Phil Smith 120,MAR,GK,Tottenham,Premier League,27,29,28,1419,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,6,0.0,0.0,0.0,14.6
Harry López 121,FRA,DF,Tottenham,Premier League,24,16,5,554,4,1,5,4,0,0,2,0,0.62,0.62,13.85,14.47,48,35,31,0.65,0.16,0.1,45.3
Son Wagner 122,NED,FW,Tottenham,Premier League,28,14,5,422,17,5,22,16,1,2,1,0,5.36,4.6,0.78,5.38,54,115,182,3.63,1.07,1.14,106.7
Bruno Garcia 123,ENG,DF,Tottenham,Premier League,26,10,3,323,2,3,5,2,0,0,0,0,2.31,2.31,2.39,4.7,27,132,52,0.56,0.84,0.64,53.5
Kevin Fernández 124,URU,MF,Tottenham,Premier League,33,5,0,140,3,11,14,3,0,0,1,0,1.5,1.5,13.69,15.19,143,65,122,1.93,7.07,0.96,35.3
Robert Becker 125,BEL,DF,Tottenham,Premier League,26,16,16,800,2,1,3,2,0,0,4,0,0.13,0.13,0.73,0.86,78,142,75,0.22,0.11,0.01,35.5
Luca Müller 126,NED,FW,Tottenham,Premier League,25,14,0,210,10,3,13,10,0,0,2,0,8.37,8.37,3.27,11.64,74,99,61,4.29,1.29,3.59,200.0
Marco Martinez 127,SEN,DF,Tottenham,Premier League,24,16,2,638,2,3,5,2,0,0,3,0,1.12,1.12,0.52,1.64,11,84,35,0.28,0.42,0.16,37.3
James Fischer 128,NED,DF,Tottenham,Premier League,26,21,8,1004,3,2,5,3,0,0,3,0,0.01,0.01,1.02,1.03,44,104,34,0.27,0.18,0.0,37.5
Carlos Rossi 129,POR,DF,Tottenham,Premier League,24,24,12,1392,0,1,1,0,0,0,3,0,0.66,0.66,0.03,0.69,52,53,49,0.0,0.06,0.04,14.6
Luis Rodríguez 130,ENG,DF,Tottenham,Premier League,18,28,13,896,1,3,4,1,0,0,5,0,0.35,0.35,2.89,3.24,48,132,69,0.1,0.3,0.04,24.4
Antoine Schneider 131,ARG,MF,Tottenham,Premier League,25,15,4,643,5,3,8,5,0,0,1,0,1.32,1.32,6.24,7.56,67,291,160,0.7,0.42,0.18,43.2
Kai Dupont 132,ITA,MF,Tottenham,Premier League,25,8,4,232,5,8,13,5,0,0,6,0,1.53,1.53,11.69,13.22,35,292,148,1.94,3.1,0.59,51.4
Jude Hernández 133,MAR,DF,Tottenham,Premier League,31,18,14,1042,3,1,4,3,0,0,2,0,0.64,0.64,0.96,1.6,41,141,19,0.26,0.09,0.06,19.0
Vinicius Meyer 134,POL,DF,Tottenham,Premier League,23,32,23,1358,1,3,4,1,0,0,6,0,1.04,1.04,0.96,2.0,10,112,57,0.07,0.2,0.07,33.8
Erling Silva 135,BRA,FW,Tottenham,Premier League,23,5,0,170,12,9,21,10,2,3,1,0,1.23,0.0,1.51,1.51,196,102,206,6.35,4.76,0.65,122.3
Kylian González 136,ENG,MF,Newcastle,Premier League,28,19,19,1691,6,4,10,6,0,0,4,0,5.13,5.13,5.35,10.48,136,145,130,0.32,0.21,0.27,40.4
Pedri Weber 137,COL,MF,Newcastle,Premier League,23,30,25,2230,5,10,15,5,0,0,5,0,2.57,2.57,6.3,8.87,83,65,47,0.2,0.4,0.1,105.5
Gavi Santos 138,NGR,MF,Newcastle,Premier League,28,21,5,427,3,8,11,3,0,0,3,0,0.37,0.37,6.0,6.37,105,210,67,0.63,1.69,0.08,81.6
Bukayo Pérez 139,POR,MF,Newcastle,Premier League,25,10,8,748,4,7,11,4,0,0,3,0,2.51,2.51,4.23,6.74,45,62,152,0.48,0.84,0.3,61.0
Trent Smith 140,URU,GK,Newcastle,Premier League,26,8,6,442,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,4,0.0,0.0,0.0,13.1
Phil López 141,NGR,MF,Newcastle,Premier League,27,33,24,1788,6,10,16,6,0,0,3,0,3.99,3.99,0.28,4.27,88,138,122,0.3,0.5,0.2,99.8
Harry Wagner 142,ARG,DF,Newcastle,Premier League,32,16,7,799,4,2,6,4,0,0,2,0,2.02,2.02,0.18,2.2,52,27,38,0.45,0.23,0.23,48.3
Son Garcia 143,BEL,MF,Newcastle,Premier League,29,31,14,1538,3,7,10,3,0,0,3,0,14.81,14.81,8.49,23.3,93,91,133,0.18,0.41,0.87,46.5
Bruno Fernández 144,BEL,GK,Newcastle,Premier League,30,9,8,689,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,7,7,0.0,0.0,0.0,6.6
Kevin Becker 145,GER,DF,Newcastle,Premier League,17,21,3,909,1,2,3,1,0,0,3,0,6.48,6.48,0.57,7.05,31,149,40,0.1,0.2,0.64,19.3
Robert Müller 146,ARG,GK,Newcastle,Premier League,26,5,1,258,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,8,5,0.0,0.0,0.0,7.8
Luca Martinez 147,POR,MF,Newcastle,Premier League,25,13,7,658,4,7,11,4,0,0,3,0,0.87,0.87,15.13,16.0,130,183,116,0.55,0.96,0.12,89.6
Marco Fischer 148,ARG,DF,Newcastle,Premier League,25,7,3,313,3,2,5,3,0,0,2,0,4.19,4.19,4.04,8.23,58,78,40,0.86,0.58,1.2,40.2
James Rossi 149,POL,MF,Newcastle,Premier League,26,8,1,218,3,8,11,3,0,0,3,0,5.92,5.92,6.06,11.98,148,51,69,1.24,3.3,2.44,53.6
Carlos Rodríguez 150,URU,MF,Newcastle,Premier League,29,14,11,921,7,8,15,7,0,0,4,0,0.23,0.23,4.2,4.43,124,66,124,0.68,0.78,0.02,71.9
Luis Schneider 151,NGR,DF,Newcastle,Premier League,26,25,18,1024,2,1,3,2,0,0,0,0,1.45,1.45,1.65,3.1,77,62,45,0.18,0.09,0.13,35.5
Antoine Dupont 152,CRO,FW,Newcastle,Premier League,23,28,26,1892,16,3,19,16,0,0,3,0,2.87,2.87,1.88,4.75,64,53,126,0.76,0.14,0.14,200.0
